file_name,file_top,file_bottom,combination,sal_x_twitter,sal_y_twitter,top_left_x_twitter,top_left_y_twitter,crop_width_twitter,crop_height_twitter,confidence_google,importance_fraction_google,top_left_x_google,top_left_y_google,top_right_x_google,top_right_y_google,bottom_right_x_google,bottom_right_y_google,bottom_left_x_google,bottom_left_y_google,survived_google,survived_member_google,crop_width_google,crop_height_google,confidence_apple,sal_x_apple,sal_y_apple,top_left_x_apple,top_left_y_apple,crop_width_apple,crop_height_apple
WMWF_image_370.png,CFD-WF-009-001-N.jpg,CFD-WM-023-001-N.jpg,WMWF,375,375,0,212,583,326,0.3125,0.10917603969573976,0,2400,582,2400,582,2727,0,2727,WM,bottom,583,328,0.58956766,286.0,2624.0,116.57232375442982,0.0,326.5770220160485,3000.0
WMWF_image_371.png,CFD-WF-235-121-N.jpg,CFD-WM-249-239-N.jpg,WMWF,375,375,0,212,583,326,0.3125,0.10917603969573976,0,2250,582,2250,582,2577,0,2577,WM,bottom,583,328,0.58106744,303.0,2624.0,138.3165068924427,80.46555519104005,300.46961247920984,2904.5786261558533
WMWF_image_372.png,CFD-WF-212-050-N.jpg,CFD-WM-221-091-N.jpg,WMWF,225,375,0,212,583,326,0.34375,0.10917603969573976,0,2250,582,2250,582,2577,0,2577,WM,bottom,583,328,0.5624489,287.0,2624.0,144.65486057102683,20.150184631347656,289.090781867504,2911.239802837372
WMWF_image_373.png,CFD-WF-219-038-N.jpg,CFD-WM-002-009-N.jpg,WMWF,375,2475,0,2312,583,326,0.34375,0.10917603969573976,0,2400,582,2400,582,2727,0,2727,WM,bottom,583,328,0.59895647,287.0,2624.0,124.6333582252264,2.321362495422364,323.0874416828156,2997.6786375045776
WMWF_image_374.png,CFD-WF-231-099-N.jpg,CFD-WM-252-224-N.jpg,WMWF,225,2475,0,2312,583,326,0.34567639231681824,0.10856762528419496,0,750,579,750,579,1075,0,1075,WF,top,580,326,0.52314556,287.0,2624.0,155.7458349466324,715.0382995605469,280.0451374650001,2243.494033813477
WMWF_image_375.png,CFD-WF-247-065-N.jpg,CFD-WM-207-048-N.jpg,WMWF,375,375,0,212,583,326,0.34375,0.10917603969573976,0,2250,582,2250,582,2577,0,2577,WM,bottom,583,328,0.60720277,303.0,2624.0,125.98594807088377,2.2777318954467773,332.59334331750875,2997.722268104553
WMWF_image_376.png,CFD-WF-003-003-N.jpg,CFD-WM-250-157-N.jpg,WMWF,225,2475,0,2312,583,326,0.34375,0.10917603224515916,0,300,582,300,582,627,0,627,WF,top,583,328,0.5477021,287.0,2624.0,150.0970418155193,1476.2247204780579,284.7381453812124,1523.7752795219421
WMWF_image_377.png,CFD-WF-007-001-N.jpg,CFD-WM-040-022-N.jpg,WMWF,375,375,0,212,583,326,0.34375,0.10917603969573976,0,2250,582,2250,582,2577,0,2577,WM,bottom,583,328,0.55282116,303.0,2624.0,129.7377134412527,7.433652877807617,314.20876866579044,2992.5663471221924
WMWF_image_378.png,CFD-WF-038-021-N.jpg,CFD-WM-020-001-N.jpg,WMWF,375,375,0,212,583,326,0.3125,0.10917602479457857,0,300,582,300,582,627,0,627,WF,top,583,328,0.5766272,286.0,2624.0,134.71972432732582,0.555574893951416,311.3564248085022,2999.444425106049
WMWF_image_379.png,CFD-WF-213-031-N.jpg,CFD-WM-023-001-N.jpg,WMWF,375,375,0,212,583,326,0.3125,0.10917603969573976,0,2400,582,2400,582,2727,0,2727,WM,bottom,583,328,0.60738707,278.0,418.0,116.88627687096596,12.469053268432615,345.39794623851776,2987.5309467315674
WMWF_image_380.png,CFD-WF-221-005-N.jpg,CFD-WM-204-031-N.jpg,WMWF,375,375,0,212,583,326,0.34375,0.10917603969573976,0,1336,582,1336,582,1663,0,1663,middle,middle,583,328,0.59798527,278.0,2624.0,131.28883591294291,0.0,311.47971606254583,3000.0
